id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
45741,1 cup sliced carrots,4837,cup,carrots,1,1 cup sliced carrots,,
45742,¼ cup snipped parsley,4837,cup,parsley,4-Jan,1/4 cup snipped parsley,,
45743,½ teaspoon cracked black pepper,4837,teaspoon,black pepper,2-Jan,1/2 teaspoon cracked black pepper,,
45744,½ teaspoon dried thyme leaves,4837,teaspoon,thyme leaves,2-Jan,1/2 teaspoon dried thyme leaves,,
45745,1 bay leaf,4837,,bay leaf,1,1 bay leaf,,
45746,"¾ pound chicken, cut into cubes",4837,pound,chicken,4-Mar,"3/4 pound chicken, cut into cubes",,
45747,2 cups cooked rice,4837,cup,rice,2,2 cups cooked rice,,
45748,2 tablespoons lime juice,4837,tablespoon,lime juice,2,2 tablespoons lime juice,,
45749,lime for garnish,4837,,lime,,lime for garnish,,
45750,1 ½ cups almond milk,4838,,,,1 1/2 cups almond milk,,
45751,"1 apple, cored and chopped",4838,,apple,1,"1 apple, cored and chopped",,
45752,½ sliced frozen banana,4838,,banana,2-Jan,1/2 sliced frozen banana,,
45753,¼ cup frozen pumpkin puree,4838,cup,pumpkin puree,4-Jan,1/4 cup frozen pumpkin puree,,
45754,"3 dates, pitted",4838,,dates,3,"3 dates, pitted",,
45755,3 cubes ice (Optional),4838,,ice,3,3 cubes ice (Optional),,
45756,2 tablespoons ground chia seeds,4838,tablespoon,chia seeds,2,2 tablespoons ground chia seeds,,
45757,2 tablespoons large flake oats,4838,tablespoon,flake oats,2,2 tablespoons large flake oats,,
45758,1 tablespoon hemp seeds,4838,tablespoon,hemp seeds,1,1 tablespoon hemp seeds,,
45759,1 ½ teaspoons pumpkin pie spice,4838,,,,1 1/2 teaspoons pumpkin pie spice,,
45760,1 teaspoon molasses,4838,teaspoon,molasses,1,1 teaspoon molasses,,
45761,1 teaspoon honey (Optional),4838,teaspoon,honey,1,1 teaspoon honey (Optional),,
45762,¼ teaspoon pure vanilla extract,4838,teaspoon,vanilla extract,4-Jan,1/4 teaspoon pure vanilla extract,,
45763,"2 medium bananas, sliced",4839,,bananas,2,"2 medium bananas, sliced",,
45764,2 cups Greek yogurt,4839,cup,Greek yogurt,2,2 cups Greek yogurt,,
45765,1 cup frozen blueberries,4839,cup,blueberries,1,1 cup frozen blueberries,,
45766,1 cup quartered fresh strawberries,4839,cup,strawberries,1,1 cup quartered fresh strawberries,,
45767,1 scoop vanilla protein powder,4839,,vanilla protein powder,1,1 scoop vanilla protein powder,,
45768,"¼ cup almond milk, or to taste",4839,cup,almond milk,4-Jan,"1/4 cup almond milk, or to taste",,
45769,12 (3-ounce) cups,4839,cup,,12,12 (3-ounce) cups,,
45770,aluminum foil,4839,,aluminum foil,,aluminum foil,,
45771,12 wooden craft sticks,4839,,craft sticks,12,12 wooden craft sticks,,
45785,8 yellow squash,4842,,yellow squash,8,8 yellow squash,,
45786,2 tablespoons butter,4842,tablespoon,butter,2,2 tablespoons butter,,
45787,"1 onion, chopped",4842,,onion,1,"1 onion, chopped",,
45788,"1 clove garlic, minced",4842,clove,garlic,1,"1 clove garlic, minced",,
45789,"1 (10 ounce) package frozen chopped spinach, thawed",4842,,spinach,1,"1 (10 ounce) package frozen chopped spinach, thawed",,
45790,2 eggs,4842,,eggs,2,2 eggs,,
45791,2 cups ricotta cheese,4842,cup,ricotta cheese,2,2 cups ricotta cheese,,
45792,¼ cup grated Parmesan cheese,4842,cup,Parmesan cheese,4-Jan,1/4 cup grated Parmesan cheese,,
45793,1 tablespoon chopped fresh parsley,4842,tablespoon,parsley,1,1 tablespoon chopped fresh parsley,,
45794,½ teaspoon salt,4842,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
45795,1 teaspoon Italian seasoning,4842,teaspoon,Italian seasoning,1,1 teaspoon Italian seasoning,,
45796,1 pinch ground black pepper,4842,pinch,black pepper,1,1 pinch ground black pepper,,
45797,1 (26 ounce) jar spaghetti sauce,4842,,spaghetti sauce,1,1 (26 ounce) jar spaghetti sauce,,
45798,1 banana,4843,,banana,1,1 banana,,
45799,4 leaves kale,4843,,kale,4,4 leaves kale,,
45800,"½ lime, juiced",4843,,lime,2-Jan,"1/2 lime, juiced",,
45801,"1 tablespoon honey, or more to taste (Optional)",4843,tablespoon,honey,1,"1 tablespoon honey, or more to taste (Optional)",,
45802,4 cups chicken broth,4844,cup,chicken broth,4,4 cups chicken broth,,
45803,1 cup water,4844,cup,water,1,1 cup water,,
45804,¼ teaspoon rosemary (Optional),4844,teaspoon,rosemary,4-Jan,1/4 teaspoon rosemary (Optional),,
45805,¼ teaspoon black pepper,4844,teaspoon,black pepper,4-Jan,1/4 teaspoon black pepper,,
45806,1 (10 ounce) package frozen mixed vegetables,4844,,(10 ounce) package frozen mixed vegetables,1,1 (10 ounce) package frozen mixed vegetables,,
45807,"1 (6 ounce) box long grain white rice and wild rice, fast cooking",4844,,"box long grain white rice and wild rice, fast cooking",1,"1 (6 ounce) box long grain white rice and wild rice, fast cooking",,
45808,"2 cups cooked turkey, chopped",4844,cup,turkey,2,"2 cups cooked turkey, chopped",,
45809,2 (14.5 ounce) cans RED GOLD® Petite Diced Tomatoes,4844,,,,2 (14.5 ounce) cans RED GOLD® Petite Diced Tomatoes,,
45810,9 cups rolled oats,4845,cup,rolled oats,9,9 cups rolled oats,,
45811,1 ½ cups vanilla whey protein powder,4845,,,,1 1/2 cups vanilla whey protein powder,,
45812,1 ½ cups oat bran,4845,,,,1 1/2 cups oat bran,,
45813,1 ½ cups wheat germ,4845,,,,1 1/2 cups wheat germ,,
45814,1 ½ cups dried fruit,4845,,,,1 1/2 cups dried fruit,,
45815,6 tablespoons chia seeds,4845,tablespoon,chia seeds,6,6 tablespoons chia seeds,,
45816,6 tablespoons flax seeds,4845,tablespoon,flax seeds,6,6 tablespoons flax seeds,,
45817,4 teaspoons ground cinnamon,4845,teaspoon,cinnamon,4,4 teaspoons ground cinnamon,,
45818,1 tablespoon salt,4845,tablespoon,salt,1,1 tablespoon salt,,
45819,cooking spray,4846,,cooking spray,,cooking spray,,
45820,2 cups old-fashioned rolled oats,4846,cup,rolled oats,2,2 cups old-fashioned rolled oats,,
45821,½ cup sliced almonds,4846,cup,almonds,2-Jan,1/2 cup sliced almonds,,
45822,¼ cup hemp seeds,4846,cup,hemp seeds,4-Jan,1/4 cup hemp seeds,,
45823,¼ cup flaxseed meal,4846,cup,flaxseed meal,4-Jan,1/4 cup flaxseed meal,,
45824,6 tablespoons honey,4846,tablespoon,honey,6,6 tablespoons honey,,
45825,¼ cup warm water,4846,cup,water,4-Jan,1/4 cup warm water,,
45826,2 tablespoons flaxseed oil,4846,tablespoon,flaxseed oil,2,2 tablespoons flaxseed oil,,
45827,1 teaspoon vanilla extract,4846,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
45828,½ teaspoon almond extract,4846,teaspoon,almond extract,2-Jan,1/2 teaspoon almond extract,,
45829,¾ cup Worcestershire sauce,4847,cup,Worcestershire sauce,4-Mar,3/4 cup Worcestershire sauce,,
45830,¾ cup soy sauce,4847,cup,soy sauce,4-Mar,3/4 cup soy sauce,,
45831,"1 tablespoon smoked paprika, or to taste",4847,tablespoon,smoked paprika,1,"1 tablespoon smoked paprika, or to taste",,
45832,"1 tablespoon honey, or more to taste",4847,tablespoon,honey,1,"1 tablespoon honey, or more to taste",,
45833,2 teaspoons freshly ground black pepper,4847,teaspoon,black pepper,2,2 teaspoons freshly ground black pepper,,
45834,1 teaspoon red pepper flakes,4847,teaspoon,red pepper flakes,1,1 teaspoon red pepper flakes,,
45835,1 teaspoon garlic powder,4847,teaspoon,garlic powder,1,1 teaspoon garlic powder,,
45836,1 teaspoon onion powder,4847,teaspoon,onion powder,1,1 teaspoon onion powder,,
45837,"2 pounds beef top round, thinly sliced",4847,pound,"beef top round, thinly sliced",2,"2 pounds beef top round, thinly sliced",,
45838,1 frozen banana,4848,,banana,1,1 frozen banana,,
45839,"1 cup almond, soy, or dairy milk",4848,cup,"almond, soy, or dairy milk",1,"1 cup almond, soy, or dairy milk",,
45840,3 tablespoons almond butter or natural peanut butter,4848,tablespoon,almond butter peanut butter,3,3 tablespoons almond butter or natural peanut butter,,
45841,½ teaspoon vanilla extract,4848,teaspoon,vanilla extract,2-Jan,1/2 teaspoon vanilla extract,,
45842,2 tablespoons Aunt Sue’s® Raw & Unfiltered Honey,4848,,,,2 tablespoons Aunt Sue’s® Raw & Unfiltered Honey,,
45843,¼ cup coconut milk,4848,cup,coconut milk,4-Jan,1/4 cup coconut milk,,
45844,¼ cup dark chocolate chips,4848,cup,chocolate chips,4-Jan,1/4 cup dark chocolate chips,,
45845,½ cup ice,4848,cup,ice,2-Jan,1/2 cup ice,,
45846,Assorted berries,4848,,Assorted berries,,Assorted berries,,
45847,Shredded coconut,4848,,Shredded coconut,,Shredded coconut,,
45848,Prepared granola,4848,,Prepared granola,,Prepared granola,,
45849,Assorted chopped nuts,4848,,chopped nuts,,Assorted chopped nuts,,
45850,"1 teaspoon salt, or as needed",4849,teaspoon,salt,1,"1 teaspoon salt, or as needed",,
45851,"2 eggplants,cut into 1-inch thick slices",4849,,,,"2 eggplants,cut into 1-inch thick slices",,
45852,¼ cup olive oil,4849,cup,olive oil,4-Jan,1/4 cup olive oil,,
45853,"2 cloves garlic, crushed",4849,clove,garlic,2,"2 cloves garlic, crushed",,
45854,1 teaspoon finely chopped fresh oregano,4849,teaspoon,oregano,1,1 teaspoon finely chopped fresh oregano,,
45855,1 teaspoon finely chopped fresh mint,4849,teaspoon,mint,1,1 teaspoon finely chopped fresh mint,,
45856,ground black pepper to taste,4849,,black pepper,,ground black pepper to taste,,
45857,"4 tomatoes, cut into 1/2-inch slices",4849,,tomatoes,4,"4 tomatoes, cut into 1/2-inch slices",,
45858,1 cup grated Kasseri cheese,4849,cup,Kasseri cheese,1,1 cup grated Kasseri cheese,,
45859,cooking spray,4850,,cooking spray,,cooking spray,,
45860,"1 (14 ounce) package firm tofu, drained and cubed",4850,,(14 ounce) package firm tofu,1,"1 (14 ounce) package firm tofu, drained and cubed",,
45861,1 (12 ounce) package spring roll wrappers,4850,package,spring roll wrappers,1,1 (12 ounce) package spring roll wrappers,,
45862,"1 medium cucumber, chopped",4850,,cucumber,1,"1 medium cucumber, chopped",,
45863,1 (12 ounce) package broccoli slaw,4850,package,broccoli slaw,1,1 (12 ounce) package broccoli slaw,,
45864,"½ cup Thai peanut sauce, or more to taste",4850,cup,Thai peanut sauce,2-Jan,"1/2 cup Thai peanut sauce, or more to taste",,
45879,6 cups whole wheat flour,4852,cup,whole wheat flour,6,6 cups whole wheat flour,,
45880,2 (.25 ounce) packages active dry yeast,4852,,(.25 ounce) packages active dry yeast,2,2 (.25 ounce) packages active dry yeast,,
45881,½ cup white sugar,4852,cup,white sugar,2-Jan,1/2 cup white sugar,,
45882,2 teaspoons baking soda,4852,teaspoon,baking soda,2,2 teaspoons baking soda,,
45883,1 tablespoon baking powder,4852,tablespoon,baking powder,1,1 tablespoon baking powder,,
45884,2 ½ cups water,4852,,,,2 1/2 cups water,,
45885,½ cup anise seed,4852,cup,anise seed,2-Jan,1/2 cup anise seed,,
45886,2 egg whites,4852,,egg,2,2 egg whites,,
45887,"1 tablespoon extra-virgin olive oil, or as needed",4853,tablespoon,extra-virgin olive oil,1,"1 tablespoon extra-virgin olive oil, or as needed",,
45888,"3 sweet potatoes, cut into 1/2-inch pieces, or more to taste",4853,,potatoes,3,"3 sweet potatoes, cut into 1/2-inch pieces, or more to taste",,
45889,salt to taste,4853,,salt,,salt to taste,,
45890,"1 large yellow onion, chopped",4853,,onion,1,"1 large yellow onion, chopped",,
45891,"1 clove garlic, chopped",4853,clove,garlic,1,"1 clove garlic, chopped",,
45892,"1 cup asparagus, or more to taste",4853,cup,asparagus,1,"1 cup asparagus, or more to taste",,
45893,4 cups water,4853,cup,water,4,4 cups water,,
45894,2 cups quinoa,4853,cup,quinoa,2,2 cups quinoa,,
45895,1 cup cashews,4853,cup,cashews,1,1 cup cashews,,
45907,1 cup blueberries,4855,cup,blueberries,1,1 cup blueberries,,
45908,¾ cup pomegranate juice,4855,cup,pomegranate juice,4-Mar,3/4 cup pomegranate juice,,
45909,½ cup low-fat plain Greek-style yogurt,4855,cup,low-fat plain Greek-style yogurt,2-Jan,1/2 cup low-fat plain Greek-style yogurt,,
45910,½ cup skim milk,4855,cup,skim milk,2-Jan,1/2 cup skim milk,,
45911,½ cup rolled oats,4855,cup,rolled oats,2-Jan,1/2 cup rolled oats,,
45912,¼ cup granular sucralose sweetener (such as Splenda®),4855,,,,1/4 cup granular sucralose sweetener (such as Splenda®),,
45913,1 teaspoon ground cinnamon,4855,teaspoon,cinnamon,1,1 teaspoon ground cinnamon,,
45917,1 cup milk,4857,cup,milk,1,1 cup milk,,
45918,"½ chopped frozen banana, or more to taste",4857,,banana,2-Jan,"1/2 chopped frozen banana, or more to taste",,
45919,2 tablespoons peanut butter,4857,tablespoon,peanut butter,2,2 tablespoons peanut butter,,
45920,2 teaspoons unsweetened cocoa powder,4857,teaspoon,cocoa powder,2,2 teaspoons unsweetened cocoa powder,,
45921,1 teaspoon honey,4857,teaspoon,honey,1,1 teaspoon honey,,
45922,12 ounces enriched thin spaghetti (such as Ronzoni® Smart Taste®),4858,,,,12 ounces enriched thin spaghetti (such as Ronzoni® Smart Taste®),,
45923,2 teaspoons pine nuts,4858,teaspoon,pine nuts,2,2 teaspoons pine nuts,,
45924,1 tablespoon olive oil,4858,tablespoon,olive oil,1,1 tablespoon olive oil,,
45925,"3 cloves garlic, minced, or more to taste",4858,clove,garlic,3,"3 cloves garlic, minced, or more to taste",,
45926,"2 small shallots, julienned",4858,,shallots,2,"2 small shallots, julienned",,
45927,"8 cherry tomatoes, halved, or more to taste",4858,,cherry tomatoes,8,"8 cherry tomatoes, halved, or more to taste",,
45928,"1 lemon, zested and juiced",4858,,lemon,1,"1 lemon, zested and juiced",,
45929,1 (5 ounce) package fresh spinach,4858,,spinach,1,1 (5 ounce) package fresh spinach,,
45930,¼ cup grated Parmesan cheese,4858,cup,Parmesan cheese,4-Jan,1/4 cup grated Parmesan cheese,,
45931,4 teaspoons grated Parmesan cheese,4858,teaspoon,Parmesan cheese,4,4 teaspoons grated Parmesan cheese,,
45932,1 ½ cups whole wheat flour,4859,,,,1 1/2 cups whole wheat flour,,
45933,⅔ cup brown sugar,4859,cup,brown sugar,,2/3 cup brown sugar,,
45934,½ cup flaxseed meal,4859,cup,flaxseed meal,2-Jan,1/2 cup flaxseed meal,,
45935,⅓ cup rolled oats,4859,cup,rolled oats,,1/3 cup rolled oats,,
45936,2 tablespoons white sugar,4859,tablespoon,white sugar,2,2 tablespoons white sugar,,
45937,½ teaspoon baking powder,4859,teaspoon,baking powder,2-Jan,1/2 teaspoon baking powder,,
45938,½ teaspoon baking soda,4859,teaspoon,baking soda,2-Jan,1/2 teaspoon baking soda,,
45939,⅛ teaspoon salt,4859,teaspoon,salt,,1/8 teaspoon salt,,
45940,2 eggs,4859,,eggs,2,2 eggs,,
45941,"6 tablespoons butter, melted",4859,tablespoon,butter,6,"6 tablespoons butter, melted",,
45942,⅓ cup buttermilk,4859,cup,buttermilk,,1/3 cup buttermilk,,
45943,1 tablespoon buttermilk,4859,tablespoon,buttermilk,1,1 tablespoon buttermilk,,
45944,1 teaspoon vanilla extract,4859,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
45945,"3 bananas, mashed",4859,,bananas,3,"3 bananas, mashed",,
45946,"1 large butternut squash, halved and seeded",4860,,butternut squash,1,"1 large butternut squash, halved and seeded",,
45947,salt and ground black pepper to taste,4860,,salt and black pepper,,salt and ground black pepper to taste,,
45948,2 cups chicken stock,4860,cup,chicken stock,2,2 cups chicken stock,,
45949,"2 carrots, shredded",4861,,carrots,2,"2 carrots, shredded",,
45950,"2 bananas, mashed",4861,,bananas,2,"2 bananas, mashed",,
45951,"1 zucchini, shredded",4861,,zucchini,1,"1 zucchini, shredded",,
45952,¼ cup vegetable oil,4861,cup,vegetable oil,4-Jan,1/4 cup vegetable oil,,
45953,¼ cup yogurt,4861,cup,yogurt,4-Jan,1/4 cup yogurt,,
45954,2 eggs,4861,,eggs,2,2 eggs,,
45955,1 cup whole wheat flour,4861,cup,whole wheat flour,1,1 cup whole wheat flour,,
45956,1 ½ teaspoons baking soda,4861,,,,1 1/2 teaspoons baking soda,,
45957,½ cup packed brown sugar,4861,cup,brown sugar,2-Jan,1/2 cup packed brown sugar,,
45958,½ cup rolled oats,4861,cup,rolled oats,2-Jan,1/2 cup rolled oats,,
45959,½ cup shredded coconut,4861,cup,coconut,2-Jan,1/2 cup shredded coconut,,
45960,½ cup chopped pecans,4861,cup,pecans,2-Jan,1/2 cup chopped pecans,,
45961,½ cup dried cherries,4861,cup,cherries,2-Jan,1/2 cup dried cherries,,
45962,1 teaspoon ground cinnamon,4861,teaspoon,cinnamon,1,1 teaspoon ground cinnamon,,
45963,1 teaspoon salt,4861,teaspoon,salt,1,1 teaspoon salt,,
45964,½ teaspoon ground ginger,4861,teaspoon,ginger,2-Jan,1/2 teaspoon ground ginger,,
45965,7 tablespoons agave nectar,4862,tablespoon,agave nectar,7,7 tablespoons agave nectar,,
45966,2 tablespoons firmly packed baby spinach leaves,4862,tablespoon,spinach leaves,2,2 tablespoons firmly packed baby spinach leaves,,
45967,"2 ½ cups almond flour, or more as needed",4862,,,,"2 1/2 cups almond flour, or more as needed",,
45968,1 ½ tablespoons olive oil,4863,,,,1 1/2 tablespoons olive oil,,
45969,"½ large onion, diced",4863,,onion,2-Jan,"1/2 large onion, diced",,
45970,"3 cloves garlic, minced, or more to taste",4863,clove,garlic,3,"3 cloves garlic, minced, or more to taste",,
45971,"2 tomatoes, divided",4863,,tomatoes,2,"2 tomatoes, divided",,
45972,"2 (15 ounce) cans garbanzo beans, drained",4863,can,garbanzo beans,2,"2 (15 ounce) cans garbanzo beans, drained",,
45973,"2 tablespoons lemon juice, divided",4863,tablespoon,lemon juice,2,"2 tablespoons lemon juice, divided",,
45974,"2 teaspoons olive oil, divided",4863,teaspoon,olive oil,2,"2 teaspoons olive oil, divided",,
45975,1 ½ teaspoons butter,4863,,,,1 1/2 teaspoons butter,,
45976,"2 zucchini, chopped",4863,,zucchini,2,"2 zucchini, chopped",,
45977,"1 yellow squash, chopped",4863,,yellow squash,1,"1 yellow squash, chopped",,
45978,"1 green bell pepper, diced",4863,,green bell pepper,1,"1 green bell pepper, diced",,
45979,salt and ground black pepper to taste,4863,,salt and black pepper,,salt and ground black pepper to taste,,
45980,1 ½ teaspoons ground cumin,4863,,,,1 1/2 teaspoons ground cumin,,
45981,1 teaspoon chili powder,4863,teaspoon,chili powder,1,1 teaspoon chili powder,,
45982,1 teaspoon paprika,4863,teaspoon,paprika,1,1 teaspoon paprika,,
45983,6 (10 inch) flour tortillas,4863,,(10 inch) flour tortillas,6,6 (10 inch) flour tortillas,,
45984,½ cup shredded Cheddar cheese (Optional),4863,cup,Cheddar cheese,2-Jan,1/2 cup shredded Cheddar cheese (Optional),,
45985,"1 dash hot sauce, or to taste (Optional)",4863,dash,hot sauce,1,"1 dash hot sauce, or to taste (Optional)",,
45986,½ cup butter,4864,cup,butter,2-Jan,1/2 cup butter,,
45987,1 tablespoon minced garlic,4864,tablespoon,garlic,1,1 tablespoon minced garlic,,
45988,"1 large onion, diced",4864,,onion,1,"1 large onion, diced",,
45989,"8 ounces fresh morel mushrooms, sliced",4864,ounce,mushrooms,8,"8 ounces fresh morel mushrooms, sliced",,
45990,1 tablespoon chicken soup base,4864,tablespoon,chicken soup base,1,1 tablespoon chicken soup base,,
45991,1 tablespoon all-purpose flour,4864,tablespoon,all-purpose flour,1,1 tablespoon all-purpose flour,,
45992,2 cups water,4864,cup,water,2,2 cups water,,
45993,2 cups heavy cream,4864,cup,heavy cream,2,2 cups heavy cream,,
45994,⅛ teaspoon ground dried thyme,4864,teaspoon,thyme,,1/8 teaspoon ground dried thyme,,
45995,salt to taste,4864,,salt,,salt to taste,,
45996,2 teaspoons ground black pepper,4864,teaspoon,black pepper,2,2 teaspoons ground black pepper,,
45997,2 cups old-fashioned oats,4865,cup,oats,2,2 cups old-fashioned oats,,
45998,1 cup chopped walnuts,4865,cup,walnuts,1,1 cup chopped walnuts,,
45999,¾ cup brown sugar,4865,cup,brown sugar,4-Mar,3/4 cup brown sugar,,
46000,¾ cup dried fruit,4865,cup,fruit,4-Mar,3/4 cup dried fruit,,
46001,½ cup all-purpose flour,4865,cup,all-purpose flour,2-Jan,1/2 cup all-purpose flour,,
46002,½ cup whole wheat flour,4865,cup,whole wheat flour,2-Jan,1/2 cup whole wheat flour,,
46003,½ cup toasted wheat germ (Optional),4865,cup,toasted wheat germ,2-Jan,1/2 cup toasted wheat germ (Optional),,
46004,¾ teaspoon ground cinnamon,4865,teaspoon,cinnamon,4-Mar,3/4 teaspoon ground cinnamon,,
46005,¾ teaspoon salt,4865,teaspoon,salt,4-Mar,3/4 teaspoon salt,,
46006,½ cup vegetable oil,4865,cup,vegetable oil,2-Jan,1/2 cup vegetable oil,,
46007,½ cup honey,4865,cup,honey,2-Jan,1/2 cup honey,,
46008,1 egg,4865,,egg,1,1 egg,,
46009,2 teaspoons vanilla extract,4865,teaspoon,vanilla extract,2,2 teaspoons vanilla extract,,
46010,1 tablespoon all-purpose flour,4866,tablespoon,all-purpose flour,1,1 tablespoon all-purpose flour,,
46011,1 tablespoon ground coriander,4866,tablespoon,coriander,1,1 tablespoon ground coriander,,
46012,1 teaspoon ground cumin,4866,teaspoon,cumin,1,1 teaspoon ground cumin,,
46013,1 teaspoon ground chile pepper,4866,teaspoon,chile pepper,1,1 teaspoon ground chile pepper,,
46014,1 teaspoon mustard powder,4866,teaspoon,mustard powder,1,1 teaspoon mustard powder,,
46015,1 teaspoon ground turmeric,4866,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
46016,1 pinch salt,4866,pinch,salt,1,1 pinch salt,,
46017,½ cup water,4866,cup,water,2-Jan,1/2 cup water,,
46018,¾ cup skim milk,4866,cup,skim milk,4-Mar,3/4 cup skim milk,,
46019,2 tablespoons fat-free plain yogurt,4866,tablespoon,yogurt,2,2 tablespoons fat-free plain yogurt,,
46020,1 tablespoon olive oil,4866,tablespoon,olive oil,1,1 tablespoon olive oil,,
46021,1 teaspoon cumin seeds,4866,teaspoon,cumin seeds,1,1 teaspoon cumin seeds,,
46022,"1 head cauliflower, broken into florets",4866,head,cauliflower,1,"1 head cauliflower, broken into florets",,
46023,"2 lemons, juiced",4866,,lemons,2,"2 lemons, juiced",,
46024,¾ cup natural peanut butter,4867,cup,peanut butter,4-Mar,3/4 cup natural peanut butter,,
46025,¾ cup honey,4867,cup,honey,4-Mar,3/4 cup honey,,
46026,½ cup granola,4867,cup,granola,2-Jan,1/2 cup granola,,
46027,½ cup crisp rice cereal,4867,cup,rice cereal,2-Jan,1/2 cup crisp rice cereal,,
46028,½ cup semisweet chocolate chips,4867,cup,chocolate chips,2-Jan,1/2 cup semisweet chocolate chips,,
46029,½ cup chopped walnuts,4867,cup,walnuts,2-Jan,1/2 cup chopped walnuts,,
46030,½ cup raisins,4867,cup,raisins,2-Jan,1/2 cup raisins,,
46031,½ cup graham cracker crumbs,4867,cup,graham cracker crumbs,2-Jan,1/2 cup graham cracker crumbs,,
46032,½ cup shredded coconut,4867,cup,coconut,2-Jan,1/2 cup shredded coconut,,
46033,2 cups plain yogurt,4868,cup,yogurt,2,2 cups plain yogurt,,
46034,"1 egg, beaten",4868,,egg,1,"1 egg, beaten",,
46035,⅓ cup molasses,4868,cup,molasses,,1/3 cup molasses,,
46036,1 cup raisins,4868,cup,raisins,1,1 cup raisins,,
46037,½ cup wheat germ,4868,cup,wheat germ,2-Jan,1/2 cup wheat germ,,
46038,1 cup quick cooking oats,4868,cup,quick cooking oats,1,1 cup quick cooking oats,,
46039,"3 tablespoons butter, melted",4868,tablespoon,butter,3,"3 tablespoons butter, melted",,
46040,1 ½ cups whole wheat flour,4868,,,,1 1/2 cups whole wheat flour,,
46041,1 ¼ teaspoons baking soda,4868,,,,1 1/4 teaspoons baking soda,,
46042,1 teaspoon ground cinnamon,4868,teaspoon,cinnamon,1,1 teaspoon ground cinnamon,,
46043,½ teaspoon ground ginger,4868,teaspoon,ginger,2-Jan,1/2 teaspoon ground ginger,,
46044,¼ teaspoon ground cloves,4868,teaspoon,cloves,4-Jan,1/4 teaspoon ground cloves,,
46045,½ teaspoon salt,4868,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
46046,"1 tablespoon vegetable oil, or to taste",4869,tablespoon,vegetable oil,1,"1 tablespoon vegetable oil, or to taste",,
46047,"1 small white onion, diced",4869,,white onion,1,"1 small white onion, diced",,
46048,1 pound ground turkey,4869,pound,turkey,1,1 pound ground turkey,,
46049,1 (1 ounce) package taco seasoning mix,4869,,(1 ounce) package taco seasoning mix,1,1 (1 ounce) package taco seasoning mix,,
46050,"1 head lettuce, chopped",4869,head,lettuce,1,"1 head lettuce, chopped",,
46051,"1 (15 ounce) can corn, drained",4869,ounce can,corn,1,"1 (15 ounce) can corn, drained",,
46052,"1 (14 ounce) can black beans, drained",4869,,black beans,1,"1 (14 ounce) can black beans, drained",,
46053,"1 avocado - peeled, pitted, and diced",4869,,avocado,1,"1 avocado - peeled, pitted, and diced",,
46054,"4 green onions, chopped (Optional)",4869,,green onions,4,"4 green onions, chopped (Optional)",,
46055,⅓ cup shredded Cheddar cheese,4869,cup,Cheddar cheese,,1/3 cup shredded Cheddar cheese,,
46056,¼ cup spicy ranch-style salad dressing,4869,cup,spicy ranch-style salad dressing,4-Jan,1/4 cup spicy ranch-style salad dressing,,
46057,"1 pound cooked chicken breast, diced",4870,pound,chicken breast,1,"1 pound cooked chicken breast, diced",,
46058,"1 head romaine lettuce, shredded",4870,head,romaine lettuce,1,"1 head romaine lettuce, shredded",,
46059,1 (8 ounce) package baby kale,4870,,(8 ounce) package baby kale,1,1 (8 ounce) package baby kale,,
46060,"½ medium head green cabbage, shredded",4870,head,green cabbage,2-Jan,"1/2 medium head green cabbage, shredded",,
46061,"1 medium red bell pepper, thinly sliced",4870,,red bell pepper,1,"1 medium red bell pepper, thinly sliced",,
46062,"1 medium apple, thinly sliced",4870,,apple,1,"1 medium apple, thinly sliced",,
46063,"3 cups bean sprouts, or more to taste",4870,cup,bean sprouts,3,"3 cups bean sprouts, or more to taste",,
46064,2 cups broccoli slaw,4870,cup,broccoli slaw,2,2 cups broccoli slaw,,
46065,1 cup sliced radishes,4870,cup,radishes,1,1 cup sliced radishes,,
46066,"1 cup frozen shelled edamame, thawed",4870,cup,edamame,1,"1 cup frozen shelled edamame, thawed",,
46067,½ cup salted dry-roasted peanuts,4870,cup,peanuts,2-Jan,1/2 cup salted dry-roasted peanuts,,
46068,Dressing:,4870,,Dressing:,,Dressing:,,
46069,1 cup peanut satay sauce,4870,cup,peanut satay sauce,1,1 cup peanut satay sauce,,
46070,¼ cup sweet chili sauce,4870,cup,sweet chili sauce,4-Jan,1/4 cup sweet chili sauce,,
46071,1 tablespoon toasted sesame oil,4870,tablespoon,sesame oil,1,1 tablespoon toasted sesame oil,,
46072,"½ medium lime, juiced",4870,,lime,2-Jan,"1/2 medium lime, juiced",,
46073,1 cup oats,4871,cup,oats,1,1 cup oats,,
46074,1 cup cottage cheese,4871,cup,cottage cheese,1,1 cup cottage cheese,,
46075,¾ cup egg whites,4871,cup,egg whites,4-Mar,3/4 cup egg whites,,
46076,½ cup pumpkin puree,4871,cup,pumpkin puree,2-Jan,1/2 cup pumpkin puree,,
46077,¼ cup skim milk,4871,cup,skim milk,4-Jan,1/4 cup skim milk,,
