id,Store Section,cleanDescription
39937,Produce,tablespoon chop jalapeno pepper tast
39938,Refrigerator,cup unsweeten almond milk
39939,Produce,clementin cuti peel
39940,Freezer,cup frozen raspberri
39941,Produce,cup spinach tast
39942,Dry Goods,tablespoon chia seed
39943,Dry Goods,tablespoon flaxse meal
39944,Freezer,cup frozen blueberri
39945,Dry Goods,scoop vanilla protein powder
39946,Dry Goods,ball park hamburg bun
39947,Oils,tablespoon extra virgin oliv oil
39948,Dry Goods,ground turkey breast patti
39949,Dry Goods,teaspoon garlic granul
39950,Dry Goods,teaspoon kosher salt
39951,Dry Goods,teaspoon ground black pepper
39952,Dry Goods,teaspoon ground cumin
39953,Dry Goods,teaspoon sweet paprika
39954,Oils,tablespoon extra virgin oliv oil
39955,Dry Goods,ripe avocado
39956,Produce,cup fine chop green onion
39957,Refrigerator,lemon juic
39958,Produce,lime juic
39959,Dry Goods,teaspoon chili powder
39960,Dry Goods,tablespoon favorit mexican salsa
39961,Dry Goods,kosher salt tast
39962,Produce,trim desir mayo lettuc tomato onion pickl
39963,Produce,tomato dice
39964,Refrigerator,ounc ball fresh mozzarella cut inch cube
39965,Produce,cup coars chop fresh basil
39966,Produce,clove garlic minc tast
39967,Oils,tablespoon oliv oil
39968,Dry Goods,pound flank steak
39969,Produce,clove garlic minc
39970,Oils,tablespoon oliv oil
39971,Dry Goods,salt ground black pepper tast
39972,Refrigerator,ounc bag butter lettuc mix
39973,Oils,tablespoon balsam vinegar tast
39974,Oils,oliv oil tast
39975,Produce,avocado peel pit mash
39976,Dry Goods,ounc black bean drain rins
39977,Produce,tablespoon lime juic
39978,Produce,clove garlic minc tast
39979,Cheese,cup shred cheddar chees
39980,Dry Goods,pinch sea salt tast
39981,Produce,cup green grape halv whole
39982,Freezer,fresh strawberri chop
39983,Produce,fresh peach chop
39984,Produce,cup fresh blueberri
39985,Produce,granni smith appl chop
39986,Refrigerator,orang juic
39987,Dry Goods,ounc mexicanstyl corn
39988,Dry Goods,ounc chili bean undrain
39989,Dry Goods,ounc can chicken broth
39990,Dry Goods,ounc jar chunki salsa
39991,Baking Goods,cup cook chop turkey meat
39992,Dry Goods,salt pepper tast
39993,Produce,cup chop fresh cilantro
39994,Household,cup lowfat sour cream
39995,Dry Goods,tablespoon guacamol
39996,Baking Goods,cup unbleach allpurpos flour
39997,Household,cup roll oat
39998,Baking Goods,cup white sugar
39999,Baking Goods,teaspoon bake powder
40000,Baking Goods,teaspoon bake soda
40001,Dry Goods,teaspoon salt
40002,Dry Goods,egg
40003,Dry Goods,cup milk
40004,Oils,cup veget oil
40005,Dry Goods,teaspoon vanilla extract
40006,Produce,cup mash banana
40007,Baking Goods,tablespoon coconut oil
40008,Refrigerator,tablespoon butter
40009,Baking Goods,white onion dice
40010,Produce,clove garlic chop
40011,Dry Goods,salt ground black pepper tast
40012,Produce,pound banana squash cube
40013,Dry Goods,pound sweet potato cube
40014,Produce,green appl cube
40015,Dry Goods,cup chicken broth need
40016,Produce,tablespoon chop fresh basil
40017,Dry Goods,tablespoon curri powder
40018,Produce,teaspoon crush bay leaf
40019,Produce,fluid ounc bottl beer
40020,Household,cup honey
40021,Dry Goods,cup dijon mustard
40022,Oils,tablespoon oliv oil
40023,Produce,tablespoon fresh rosemari tast
40024,Dry Goods,teaspoon garlic powder
40025,Dry Goods,teaspoon salt
40026,Dry Goods,teaspoon freshli crack black pepper
40027,Dry Goods,pound chicken breast tenderloin
40028,Produce,fresh pineappl
40029,Produce,ounc bag babi spinach leav
40030,Household,cup pine nut
40031,Refrigerator,ounc mandarin orang drain
40032,Produce,tablespoon poppi seed salad dress kraft tast
40043,Baking Goods,cup allpurpos flour
40044,Baking Goods,cup whole wheat flour
40045,Household,cup oldfashion oat
40046,Dry Goods,cup wheat germ
40047,Baking Goods,teaspoon bake soda
40048,Dry Goods,teaspoon ground cinnamon
40049,Dry Goods,teaspoon ground allspic
40050,Dry Goods,teaspoon ground clove
40051,Dry Goods,teaspoon salt
40052,Refrigerator,cup butter soften
40053,Baking Goods,cup coconut sugar
40054,Baking Goods,cup pack brown sugar
40055,Household,cup pumpkin pure
40056,Produce,larg egg
40057,Dry Goods,teaspoon vanilla extract
40058,Dry Goods,cup chop walnut
40059,Household,cup raisin
40072,Dry Goods,salmon fillet
40073,Dry Goods,salt pepper tast
40074,Dry Goods,tablespoon onion powder
40075,Produce,teaspoon crush red pepper flake
40076,Oils,cup oliv oil
40077,Refrigerator,cup fresh lemon juic
40078,Produce,clove garlic minc
40079,Oils,tablespoon white balsam vinegar
40080,Baking Goods,tablespoon white sugar
40081,Produce,tablespoon chop green onion
40082,Produce,tablespoon chop cilantro
40083,Refrigerator,fl oz chicken breast chunk drain
40084,Produce,cup fine chop red onion
40085,Refrigerator,teaspoon fresh lemon juic
40086,Dry Goods,tablespoon greek yogurt
40087,Household,cup hummu
40088,Oils,cup kalamata oliv chop
40089,Produce,cup fine chop red bell pepper
40090,Produce,teaspoon chop fresh dill
40091,Cheese,cup crumbl feta chees
40100,Produce,appl peel core dice
40101,Produce,pear peel core dice
40102,Produce,cup fresh blueberri
40103,Produce,cup fresh blackberri
40104,Dry Goods,cup agav nectar
40105,Baking Goods,tablespoon cornstarch
40106,Produce,tablespoon lime juic
40107,Refrigerator,tablespoon brandybas orang liqueur grand marnier
40108,Dry Goods,teaspoon vanilla extract
40109,Dry Goods,teaspoon ground ginger
40110,Dry Goods,teaspoon ground cinnamon
40111,Baking Goods,cup allpurpos flour
40112,Household,cup pecan piec
40113,Baking Goods,cup turbinado sugar
40114,Household,cup roll oat
40115,Produce,cup butter cut small piec
40116,Dry Goods,cup ground flax seed
40117,Dry Goods,teaspoon ground cinnamon
40118,Dry Goods,teaspoon sea salt
40119,Dry Goods,cup small seashel pasta
40120,Household,cup italianstyl salad dress
40121,Dry Goods,salt tast
40122,Dry Goods,ounc pinto bean
40123,Dry Goods,ounc black bean
40124,Dry Goods,ounc whole kernel corn drain
40125,Produce,tomato chop
40126,Dry Goods,tablespoon ground cumin
40127,Dry Goods,tablespoon chili powder
40128,Dry Goods,teaspoon onion powder
40129,Dry Goods,teaspoon garlic powder
40130,Dry Goods,teaspoon dri red pepper flake option
40131,Dry Goods,salt pepper tast
40147,Baking Goods,cup allpurpos flour
40148,Baking Goods,cup light brown sugar
40149,Household,cup roll oat
40150,Dry Goods,tablespoon ground chia seed option
40151,Dry Goods,tablespoon flaxse meal option
40152,Dry Goods,egg
40153,Refrigerator,orang juic zest
40154,Refrigerator,ounc unsalt butter melt
40155,Household,tablespoon milk need
40156,Refrigerator,cup unsalt butter melt
40157,Cheese,cup freshli grate parmesan chees
40158,Dry Goods,teaspoon dri basil
40159,Dry Goods,teaspoon dri oregano
40160,Dry Goods,kosher salt freshli ground black pepper tast
40161,Refrigerator,zucchini cut inch round
40162,Produce,tablespoon chop fresh parsley leav
40163,Dry Goods,reynold wrap heavi duti aluminum foil
40164,Refrigerator,frozen banana cut chunk
40165,Produce,cucumb peel seed cut chunk
40166,Household,cup buttermilk
40167,Household,cup coconut water
40168,Dry Goods,tablespoon blueberri preserv
40169,Refrigerator,ounc packag frozen chop spinach thaw drain squeez dri
40170,Dry Goods,egg
40171,Produce,cup chop fresh dill leav
40172,Produce,larg onion chop
40173,Dry Goods,pound crumbl feta chees
40174,Dry Goods,pound cottag chees
40175,Dry Goods,teaspoon ground black pepper tast
40176,Dry Goods,sheet phyllo dough thaw
40177,Oils,tablespoon oliv oil divid
40178,Household,cup sour cream garnish
40179,Dry Goods,pound fresh asparagu trim
40180,Oils,tablespoon oliv oil
40181,Produce,tablespoon minc garlic
40182,Produce,teaspoon crush red pepper flake tast
40183,Oils,medium kalamata oliv slice
40184,Dry Goods,salt freshli ground black pepper tast
40185,Produce,medium lemon cut wedg
40186,Produce,small watermelon seed cube
40201,Household,cup water
40202,Dry Goods,cup quinoa
40203,Cheese,ounc packag feta chees crumbl
40204,Produce,small cucumb thinli slice
40205,Produce,roma plum tomato dice
40206,Refrigerator,tablespoon lemon juic
40207,Oils,tablespoon cider vinegar
40208,Oils,tablespoon oliv oil
40209,Dry Goods,teaspoon dri dill weed
40210,Dry Goods,teaspoon salt
40211,Dry Goods,teaspoon ground black pepper
40212,Dry Goods,cup dri soybean
40213,Household,hot water cover
40214,Household,cup water
40215,Dry Goods,sea salt tast
40216,Dry Goods,ounc packag korean noodl
40217,Produce,tomato wedg
40218,Produce,cucumb thinli slice
40219,Dry Goods,teaspoon black sesam seed tast option
40220,Oils,tablespoon oliv oil
40221,Produce,stalk scallion slice
40222,Produce,clove garlic slice
40223,Dry Goods,teaspoon ground cumin
40224,Dry Goods,ounc dice tomato
40225,Dry Goods,pinch cayenn pepper tast
40226,Dry Goods,sea salt ground black pepper tast
40227,Dry Goods,teaspoon honey
40228,Produce,larg egg
40229,Produce,tablespoon roughli chop fresh cilantro
40230,Dry Goods,ounc packag farfal pasta
40231,Oils,tablespoon oliv oil
40232,Produce,clove garlic minc
40233,Dry Goods,pound chop portabello mushroom
40234,Produce,red bell pepper dice
40235,Produce,zucchini cut inch slice
40236,Oils,cup red wine vinegar
40237,Cheese,tablespoon grate parmesan chees
40238,Dry Goods,cup wheat germ
40239,Baking Goods,cup whole wheat flour
40240,Baking Goods,teaspoon bake soda
40241,Dry Goods,teaspoon salt
40242,Household,cup buttermilk
40243,Dry Goods,egg lightli beaten
40244,Oils,tablespoon canola oil
40245,Baking Goods,cook spray
40246,Dry Goods,ounc dri soba noodl
40247,Dry Goods,tablespoon soy sauc
40248,Dry Goods,tablespoon oyster sauc
40249,Dry Goods,tablespoon mirin japanes sweet wine
40250,Oils,tablespoon oliv oil
40251,Produce,green bell pepper chop
40252,Produce,onion slice
40253,Refrigerator,cup fresh green bean trim cut inch piec
40254,Produce,cup babi spinach leav
40255,Dry Goods,cup lowfat milk
40256,Bread,cup bread crumb
40257,Cheese,cup shred parmesan chees
40258,Dry Goods,tablespoon garlic powder
40259,Dry Goods,tablespoon ground black pepper
40260,Produce,zucchini thinli slice
40261,Freezer,cup frozen strawberri
40262,Refrigerator,cup frozen pineappl chunk
40263,Dry Goods,cup plain greek yogurt
40264,Household,cup coconut water
40265,Dry Goods,tablespoon frozen acai berri pulp desir
40266,Produce,kiwi peel slice
40267,Produce,banana slice
40268,Produce,cup fresh blueberri
40269,Produce,cup fresh raspberri
40270,Dry Goods,tablespoon slice almond
40271,Dry Goods,tablespoon granola
40272,Dry Goods,teaspoon chia seed option
40273,Household,cup yogurt
40274,Refrigerator,cup pineappl tidbit pineappl juic undrain
40275,Household,cup raisin
40276,Baking Goods,cup coconut
40277,Produce,tablespoon honey tast
40278,Produce,cup spiralsl carrot
40279,Dry Goods,graham cracker
40280,Refrigerator,cup crunchi peanut butter
40281,Household,cup honey
40282,Dry Goods,cup nonfat dri milk powder
40283,Baking Goods,cup coconut
40284,Dry Goods,ounc packag fresh cranberri
40285,Household,cup water
40286,Produce,cup granular sucralos sweeten splenda tast
40287,Household,cup grate russet potato
40288,Produce,tablespoon grate yellow onion
40289,Dry Goods,teaspoon kosher salt
40290,Dry Goods,tablespoon potato starch
40291,Dry Goods,egg beaten
40292,Dry Goods,teaspoon ground white pepper
40293,Oils,cup veget oil fri need
40294,Dry Goods,fine salt tast
40295,Household,cup grate purpl potato
40296,Produce,tablespoon grate red onion
40297,Dry Goods,teaspoon kosher salt
40298,Dry Goods,tablespoon potato starch
40299,Dry Goods,egg beaten
40300,Dry Goods,teaspoon ground black pepper
40301,Oils,teaspoon balsam vinegar
40302,Oils,cup veget oil fri need
40303,Dry Goods,fine salt tast
40304,Produce,tablespoon chop onion
40305,Refrigerator,cup butter
40306,Produce,cup fresh bread crumb
40307,Produce,cup chop appl
40308,Produce,cup chop celeri
40309,Produce,teaspoon chop fresh parsley
40310,Dry Goods,teaspoon salt
40311,Refrigerator,inch thick pork chop
40312,Dry Goods,salt pepper tast
40313,Oils,tablespoon veget oil
40314,Oils,cup oliv oil
40315,Produce,cup chop fresh cilantro
40316,Produce,cup chop fresh parsley
40317,Refrigerator,lemon juic
40318,Produce,clove garlic minc
40319,Dry Goods,teaspoon ground paprika
40320,Dry Goods,teaspoon ground ginger
40321,Dry Goods,teaspoon ground cumin
40322,Dry Goods,teaspoon salt
40323,Dry Goods,teaspoon ground saffron option
40324,Dry Goods,pound cod fillet cut bites piec
40325,Oils,tablespoon oliv oil
40326,Produce,larg onion cut ring
40327,Produce,larg carrot peel cut matchstick
40328,Refrigerator,potato peel slice inch thick
40329,Produce,larg green bell pepper slice ring
40330,Produce,tomato seed cut strip
40331,Produce,cup chop fresh cilantro
40332,Oils,teaspoon oliv oil
40333,Dry Goods,pound lean ground beef
40334,Dry Goods,tablespoon reducedsodium taco season mix
40335,Dry Goods,teaspoon kosher salt
40336,Produce,ounc nosaltad fireroast tomato juic
40337,Dry Goods,ounc reducedsodium black bean rins drain
40338,Dry Goods,cup fresh corn kernel
40339,Household,cup water
40340,Produce,cup spiral zucchini
40341,Cheese,cup shred cheddar chees
40342,Produce,cup chop green onion
40343,Dry Goods,cup raisin option
40344,Dry Goods,cup unsweeten applesauc
40345,Dry Goods,tablespoon unsweeten applesauc
40346,Household,cup chocolatehazelnut spread nutella
40347,Baking Goods,cup brown sugar
40348,Household,cup honey
40349,Dry Goods,tablespoon corn syrup
40350,Dry Goods,teaspoon vanilla extract
40351,Dry Goods,teaspoon ground cinnamon
40352,Dry Goods,teaspoon salt
40353,Household,cup oldfashion oat
40354,Baking Goods,cup allpurpos flour
40355,Baking Goods,cook spray
40356,Dry Goods,pound skinless boneless chicken breast halv
40357,Dry Goods,teaspoon kosher salt divid
40358,Dry Goods,teaspoon ground black pepper divid
40359,Dry Goods,teaspoon onion powder
40360,Produce,cup mayonnais tast
40361,Household,cup sour cream
40362,Household,cup sweet relish
40363,Produce,stalk green onion white light green part minc
40364,Produce,tablespoon chop fresh parsley
40365,Dry Goods,tablespoon dijon mustard
40366,Refrigerator,tablespoon lemon juic
40367,Dry Goods,teaspoon dri dill weed
40368,Produce,cup fine chop celeri
40369,Dry Goods,cup milk
40370,Dry Goods,ounc fresh yeast
40371,Dry Goods,egg
40372,Oils,tablespoon oliv oil
40373,Baking Goods,tablespoon white sugar
40374,Dry Goods,teaspoon salt
40375,Baking Goods,cup allpurpos flour need
40376,Produce,small carrot grate
40377,Dry Goods,tablespoon sunflow seed
40378,Household,tablespoon milk need
40379,Baking Goods,slice white bread torn small piec
40380,Refrigerator,mango peel seed dice
40381,Baking Goods,cup white sugar
40382,Dry Goods,egg lightli beaten
40383,Dry Goods,cup milk
40384,Dry Goods,teaspoon vanilla extract
40385,Dry Goods,teaspoon ground cardamom
40386,Refrigerator,tablespoon butter
40387,Household,cup water
40388,Dry Goods,cup plain fatfre greek yogurt
40389,Household,cup oldfashion roll oat
40390,Dry Goods,scoop vanilla protein powder
40391,Dry Goods,tablespoon ground flax seed
40392,Dry Goods,teaspoon chia seed
40393,Dry Goods,teaspoon pumpkin pie spice
40394,Household,cup sweet potato pure
40395,Household,tablespoon water
40396,Household,cup chocol chip
40397,Baking Goods,cup brown sugar
40398,Baking Goods,cup whole wheat flour
40399,Dry Goods,cup cocoa powder
40400,Baking Goods,teaspoon bake soda
40401,Baking Goods,teaspoon bake powder
40402,Dry Goods,teaspoon salt
40403,Refrigerator,cup soy milk
40404,Oils,cup grapese oil
40405,Dry Goods,cup unsweeten applesauc
40406,Dry Goods,egg
40407,Oils,teaspoon appl cider vinegar
40408,Dry Goods,teaspoon vanilla extract
40409,Bread,slice whole wheat bread toast
40410,Cheese,ounc packag cream chees room temperatur
40411,Produce,medium tomato slice
40412,Dry Goods,ounc packag alfalfa sprout
40413,Cheese,cup shred mozzarella chees
40414,Produce,larg sweet potato cut inch wide wedg
40415,Dry Goods,tablespoon sesam oil
40416,Dry Goods,tablespoon soy sauc
40417,Dry Goods,tablespoon mirin japanes sweet rice wine
40418,Dry Goods,teaspoon honey
40419,Dry Goods,tablespoon garlic powder
40420,Dry Goods,tablespoon onion powder
40421,Dry Goods,teaspoon ground black pepper
40422,Produce,teaspoon dri parsley
40423,Dry Goods,teaspoon dri basil
40424,Dry Goods,teaspoon dri oregano
40425,Dry Goods,teaspoon ground cumin
40426,Dry Goods,teaspoon dri mustard
40427,Dry Goods,pinch cayenn pepper
40428,Dry Goods,pinch dri rosemari
40429,Dry Goods,pinch celeri seed
40430,Baking Goods,nonstick cook spray
40431,Household,cup water
40432,Dry Goods,tablespoon chia seed
40433,Produce,medium onion peel
40434,Produce,larg carrot peel
40435,Produce,stalk celeri
40436,Household,cup babi spinach
40437,Produce,clove garlic
40438,Oils,tablespoon oliv oil
40439,Dry Goods,pound lean ground turkey
40440,Dry Goods,cup cook quinoa
40441,Produce,larg egg beaten
40442,Dry Goods,tablespoon lowsodium soy sauc
40443,Dry Goods,teaspoon worcestershir sauc
40444,Dry Goods,teaspoon ground black pepper
40445,Dry Goods,teaspoon salt
40446,Household,cup reducedsugar ketchup
40447,Oils,tablespoon oliv oil
40448,Produce,shallot dice
40449,Produce,ounc bag babi spinach leav
40450,Dry Goods,kosher salt freshli ground pepper tast
40451,Produce,honeydew melon peel seed cube
40452,Produce,cucumb peel slice
40453,Produce,red onion minc
40454,Produce,bunch fresh mint minc
40455,Oils,cup extravirgin oliv oil
40456,Refrigerator,lemon juic tast
40457,Dry Goods,salt ground black pepper tast
40458,Produce,granni smith appl peel core chop
40459,Bread,cup inch bread cube
40460,Produce,larg egg
40461,Produce,fluid ounc can evapor skim milk
40462,Baking Goods,cup pack brown sugar
40463,Dry Goods,teaspoon ground cinnamon
40464,Dry Goods,teaspoon nutmeg
40465,Dry Goods,ounc dri fettucin
40466,Refrigerator,tablespoon butter
40467,Produce,clove garlic minc
40468,Baking Goods,tablespoon allpurpos flour
40469,Dry Goods,salt black pepper tast
40470,Dry Goods,teaspoon cayenn pepper
40471,Household,cup halfandhalf
40472,Cheese,ounc packag cream chees soften
40473,Cheese,cup grate parmesan chees
40474,Dry Goods,ounc crabmeat flake
40475,Dry Goods,cup uncook couscou
40476,Household,cup raisin
40477,Household,cup boil water
40478,Dry Goods,egg
40479,Baking Goods,tablespoon white sugar
40480,Refrigerator,tablespoon lemon curd
40481,Refrigerator,lemon juic zest
40482,Dry Goods,ounc garbanzo bean chickpea drain rins
40483,Produce,roma plum tomato seed dice
40484,Produce,medium green bell pepper dice
40485,Produce,small onion fine chop
40486,Produce,small clove garlic minc
40487,Produce,tablespoon chop fresh parsley
40488,Oils,tablespoon oliv oil
40489,Refrigerator,lemon juic
40490,Dry Goods,egg
40491,Produce,ripe banana
40492,Dry Goods,cup unsweeten applesauc
40493,Dry Goods,teaspoon vanilla extract
40494,Baking Goods,cup whole wheat flour
40495,Household,cup sucanat
40496,Baking Goods,cup allpurpos flour
40497,Dry Goods,cup ground flax seed
40498,Household,cup oat
40499,Baking Goods,cup white sugar
40500,Dry Goods,teaspoon sea salt
40501,Baking Goods,teaspoon bake powder
40502,Household,cup dark chocol chip
40503,Dry Goods,cup chop walnut
40504,Produce,roast red pepper peel minc
40505,Produce,tablespoon chop shallot
40506,Produce,teaspoon minc garlic
40507,Oils,teaspoon oliv oil
40508,Produce,teaspoon chop fresh mint
40509,Produce,teaspoon lime juic
40510,Dry Goods,teaspoon dijon mustard
40511,Produce,teaspoon minc fresh cilantro
40512,Dry Goods,teaspoon salt
40513,Produce,teaspoon red pepper flake
40514,Dry Goods,pinch ground coriand
40515,Dry Goods,pinch ground black pepper
40516,Dry Goods,pinch cayenn pepper
40517,Dry Goods,cup can cannellini bean
40518,Household,cup water need
40519,Oils,teaspoon truffl oil
40520,Dry Goods,teaspoon salt
40521,Dry Goods,teaspoon ground black pepper
40522,Produce,larg portobello mushroom cap
40523,Oils,teaspoon oliv oil
40524,Dry Goods,cup veget broth
40525,Dry Goods,teaspoon salt
40526,Dry Goods,teaspoon ground black pepper
40527,Household,cup water divid
40528,Produce,ounc packag fresh strawberri hull
40529,Produce,cup fresh spinach stem
40530,Baking Goods,tablespoon sugar tast
40531,Produce,cup fresh babi spinach
40532,Produce,tablespoon chop fresh basil
40533,Produce,pound campari tomato seed minc
40534,Produce,larg seedless cucumb peel minc
40535,Produce,larg red onion minc
40536,Produce,clove garlic minc
40537,Dry Goods,teaspoon salt tast
40538,Dry Goods,teaspoon crack black pepper tast
40539,Dry Goods,cup milk
40540,Dry Goods,egg beaten
40541,Baking Goods,slice cook bacon crumbl
40542,Dry Goods,pinch dri chive
40543,Dry Goods,breakfast sausag patti
40544,Produce,glaze donut halv
40545,Cheese,slice american chees
40546,Household,ounc tuna water drain
40547,Dry Goods,cup dri cranberri
40548,Refrigerator,sweet appl cut inch piec
40549,Dry Goods,tablespoon light mayonnais
40550,Produce,green onion chop
40551,Dry Goods,sea salt tast
40552,Dry Goods,ground black pepper tast
40553,Produce,cup chop fresh spinach
40561,Household,cup water
40562,Dry Goods,tablespoon chia seed
40563,Baking Goods,cup glutenfre purpos bake flour
40564,Baking Goods,cup coconut sugar
40565,Baking Goods,teaspoon bake soda
40566,Baking Goods,teaspoon bake powder
40567,Dry Goods,teaspoon salt
40568,Dry Goods,cup plain fatfre yogurt
40569,Oils,cup veget oil
40570,Produce,larg egg
40571,Dry Goods,teaspoon vanilla extract
40572,Produce,cup mash ripe banana
40573,Dry Goods,cup chop walnut
40574,Dry Goods,ounc packag arugula
40575,Produce,cup roughli chop cilantro
40576,Refrigerator,teaspoon fresh lemon juic
40577,Oils,teaspoon oliv oil
40578,Oils,teaspoon balsam vinegar
40579,Produce,teaspoon red pepper flake
40580,Dry Goods,pinch ground black pepper
40581,Cheese,cup shave parmesan chees
40582,Household,cup roll oat
40583,Refrigerator,cup peanut butter
40584,Household,cup honey
40585,Dry Goods,cup cocoa powder
40586,Baking Goods,cup shred coconut
40587,Dry Goods,cup wheat germ
40588,Dry Goods,teaspoon vanilla extract
40589,Dry Goods,pinch ground cinnamon
40590,Household,quart spring water
40591,Produce,fresh apricot pit slice
40592,Produce,cup green grape
40593,Produce,hardcook egg peel chop
40594,Household,cup light mayonnais
40595,Household,cup lowfat sour cream
40596,Dry Goods,teaspoon paprika
40597,Dry Goods,tablespoon dijon mustard
40598,Dry Goods,tablespoon prepar horseradish
40599,Produce,tablespoon chop red onion
40600,Household,cup real bacon bit
40601,Dry Goods,salt pepper tast
40609,Dry Goods,spaghetti squash halv seed
40610,Oils,tablespoon extravirgin oliv oil
40611,Dry Goods,salt freshli ground black pepper tast
40612,Cheese,tablespoon freshli grate parmesan chees tast
40613,Oils,tablespoon oliv oil
40614,Produce,stalk celeri dice
40615,Produce,cup chop onion
40616,Produce,cup chop green bell pepper
40617,Produce,clove garlic chop
40618,Dry Goods,ounc can veget broth
40619,Dry Goods,ounc stew tomato
40620,Produce,carrot chop
40621,Produce,potato dice
40622,Produce,pearl onion
40623,Dry Goods,teaspoon dri thyme leav
40624,Dry Goods,salt ground black pepper tast
40625,Baking Goods,cook chicken breast dice
40626,Produce,teaspoon red pepper flake tast
40627,Oils,tablespoon red wine vinegar
40628,Dry Goods,cup raisin option
40629,Dry Goods,cup milk
40630,Dry Goods,egg
40631,Dry Goods,cup wheat bran cereal kellogg allbran™
40632,Dry Goods,ounc can pumpkin
40633,Household,cup honey
40634,Produce,appl core grate
40635,Refrigerator,tablespoon butter melt
40636,Baking Goods,cup whole wheat flour
40637,Baking Goods,teaspoon bake soda
40638,Dry Goods,teaspoon pumpkin spice
40639,Baking Goods,teaspoon bake powder
40640,Household,cup roll oat
40641,Produce,banana mash
40642,Produce,carrot grate
40643,Produce,appl grate
40644,Dry Goods,cup unsweeten applesauc
40645,Produce,cup chop peanut
40646,Dry Goods,cup unsweeten coconut milk beverag delici
40647,Dry Goods,cup unsweeten applesauc
40648,Dry Goods,egg beaten
40649,Dry Goods,tablespoon honey
40650,Dry Goods,teaspoon vanilla extract
40651,Dry Goods,teaspoon ground cinnamon
40652,Dry Goods,teaspoon sea salt
40653,Baking Goods,teaspoon bake soda
40654,Baking Goods,cup coconut flour
40655,Household,teaspoon coconut oil need
40656,Produce,pound fresh strawberri leav
40657,Dry Goods,ounc milk chocol chip
40658,Dry Goods,tablespoon shorten
40659,Baking Goods,cook spray
40660,Produce,larg egg
40661,Freezer,cup frozen chop spinach thaw drain
40662,Produce,cup chop red bell pepper
40663,Dry Goods,ounc dice fulli cook ham
40664,Baking Goods,cup egg white
40665,Cheese,cup crumbl feta chees
40666,Household,tablespoon water
40667,Dry Goods,salt ground black pepper tast
40668,Produce,bagel slice half
40669,Dry Goods,tablespoon coarsegrain brown mustard
40670,Dry Goods,leaf romain lettuc
40671,Produce,inch thick ring green bell pepper
40672,Produce,slice cucumb
40673,Produce,slice tomato
40674,Dry Goods,salt freshli ground black pepper tast
40675,Produce,slice red onion
40676,Household,cup alfalfa sprout
40677,Dry Goods,ounc pasta
40678,Produce,onion minc
40679,Produce,fresh mushroom slice
40680,Dry Goods,teaspoon onion powder
40681,Dry Goods,teaspoon garlic powder
40682,Produce,ounc lowsodium tomatoveget juic cocktail
40683,Household,cup port wine
40684,Dry Goods,teaspoon dri oregano
40685,Dry Goods,bay leaf
40686,Dry Goods,teaspoon arrowroot powder
40687,Household,cup water
40688,Baking Goods,cup coconut oil
40689,Dry Goods,egg
40690,Dry Goods,tablespoon honey
40691,Dry Goods,teaspoon vanilla extract
40692,Dry Goods,cup ground almond
40693,Household,cup roll oat
40694,Household,cup water
40695,Household,cup honey divid
40696,Dry Goods,tablespoon ground cinnamon
40697,Dry Goods,teaspoon vanilla extract
40698,Produce,plum pit slice
40699,Dry Goods,cup ground almond
40700,Dry Goods,egg
40701,Baking Goods,cup coconut oil
40702,Produce,cup fresh raspberri
40703,Dry Goods,pound peel cube potato
40704,Household,cup heavi whip cream
40705,Dry Goods,cup skim milk
40706,Produce,pound carrot chop
40707,Produce,stalk celeri chop
40708,Produce,onion chop
40709,Produce,clove garlic minc
40710,Produce,green bell pepper chop
40711,Dry Goods,cube chicken bouillon
40712,Produce,bay leav
40713,Dry Goods,tablespoon salt
40714,Dry Goods,tablespoon ground black pepper
40715,Dry Goods,teaspoon cayenn pepper
40716,Household,cup roll oat
40717,Dry Goods,cup sunflow seed
40718,Baking Goods,cup unsweeten shred coconut
40719,Baking Goods,cup brown sugar
40720,Dry Goods,teaspoon ground cinnamon
40721,Dry Goods,teaspoon sea salt
40722,Dry Goods,cup plain greek yogurt
40723,Refrigerator,cup natur peanut butter melt
40724,Dry Goods,tablespoon pure mapl syrup
40725,Baking Goods,cup coconut oil melt
40726,Dry Goods,teaspoon vanilla extract
40727,Dry Goods,cup vanilla protein powder
40728,Produce,ounc bar dark chocol chop
40729,Dry Goods,thai chile chop
40730,Produce,clove garlic chop
40731,Produce,inch piec fresh ginger minc
40732,Dry Goods,tablespoon black bean sauc
40733,Dry Goods,tablespoon dark soy sauc
40734,Dry Goods,tablespoon white soy sauc
40735,Oils,tablespoon veget oil
40736,Baking Goods,tablespoon white sugar
40737,Dry Goods,pinch white pepper
40738,Baking Goods,tablespoon cornstarch
40739,Household,tablespoon cold water
40740,Baking Goods,pound white fish fillet
40741,Refrigerator,ounc packag tofu drain cube
40742,Produce,cup green onion fine chop
40743,Refrigerator,cup gluten free casein free margarin
40744,Baking Goods,cup brown sugar
40745,Baking Goods,cup white sugar
40746,Dry Goods,egg
40747,Refrigerator,cup salt natur peanut butter
40748,Baking Goods,teaspoon bake soda
40749,Dry Goods,cup soy flour
40750,Baking Goods,cup tapioca flour
40751,Baking Goods,cup potato flour
40752,Produce,pound carrot peel
40753,Oils,tablespoon oliv oil
40754,Dry Goods,teaspoon garlic salt
40755,Cheese,cup grate parmesan chees tast
40756,Household,cup shorten
